id_equipment,name,desc,category,gear_category,cost,weight,speed,range,capacity,properties,damage,damage_type,category_range,throw_range,weapon_category,weapon_range,armor_category,armor_class,tool_category,vehicle_category
1,Abacus,None,Adventuring Gear,Standard Gear,2 gp,2.0,None,None,None,None,None,None,None,None,None,None,None,None,None,None
2,Acid (vial),"As an action, you can splash the contents of this vial onto a creature within 5 feet of you or throw the vial up to 20 feet, shattering it on impact. In either case, make a ranged attack against a creature or object, treating the acid as an improvised weapon., On a hit, the target takes 2d6 acid damage.",Adventuring Gear,Standard Gear,25 gp,1.0,None,None,None,None,None,None,None,None,None,None,None,None,None,None
3,Alchemist's fire (flask),"This sticky, adhesive fluid ignites when exposed to air., As an action, you can throw this flask up to 20 feet, shattering it on impact. Make a ranged attack against a creature or object, treating the alchemists fire as an improvised weapon., On a hit, the target takes 1d4 fire damage at the start of each of its turns. A creature can end this damage by using its action to make a DC 10 Dexterity check to extinguish the flames.",Adventuring Gear,Standard Gear,50 gp,1.0,None,None,None,None,None,None,None,None,None,None,None,None,None,None
4,Alchemist's supplies,"These special tools include the items needed to pursue a craft or trade. The table shows examples of the most common types of tools, each providing items related to a single craft. Proficiency with a set of artisans tools lets you add your proficiency bonus to any ability checks you make using the tools in your craft. Each type of artisans tools requires a separate proficiency.",Tools,,50 gp,8.0,None,None,None,None,None,None,None,None,None,None,None,None,Artisan's Tools,None
5,Amulet,"A holy symbol is a representation of a god or pantheon. It might be an amulet depicting a symbol representing a deity, the same symbol carefully engraved or inlaid as an emblem on a shield, or a tiny box holding a fragment of a sacred relic., Appendix B lists the symbols commonly associated with many gods in the multiverse. A cleric or paladin can use a holy symbol as a spellcasting focus. To use the symbol in this way, the caster must hold it in hand, wear it visibly, or bear it on a shield.",Adventuring Gear,Holy Symbol,5 gp,1.0,None,None,None,None,None,None,None,None,None,None,None,None,None,None
6,Animal Feed (1 day),None,Mounts and Vehicles,,5 cp,10.0,None,None,None,None,None,None,None,None,None,None,None,None,None,"Tack, Harness, and Drawn Vehicles"
7,Antitoxin (vial),A creature that drinks this vial of liquid gains advantage on saving throws against poison for 1 hour. It confers no benefit to undead or constructs.,Adventuring Gear,Standard Gear,50 gp,0.0,None,None,None,None,None,None,None,None,None,None,None,None,None,None
8,Arrow,None,Adventuring Gear,Ammunition,1 gp,1.0,None,None,None,None,None,None,None,None,None,None,None,None,None,None
9,Backpack,None,Adventuring Gear,Standard Gear,2 gp,5.0,None,None,None,None,None,None,None,None,None,None,None,None,None,None
10,Bagpipes,"Several of the most common types of musical instruments are shown on the table as examples. If you have proficiency with a given musical instrument, you can add your proficiency bonus to any ability checks you make to play music with the instrument. A bard can use a musical instrument as a spellcasting focus. Each type of musical instrument requires a separate proficiency.",Tools,,30 gp,6.0,None,None,None,None,None,None,None,None,None,None,None,None,Musical Instrument,None
